sentence1,sentence2,sentence3,sentence4,sentence5,event,emotional,label,normal
So he went to the best buy and looked at a tv.,[NEUTRAL] loved his new tv .,[NEUTRAL] wanted a new tv .,Bought the tv.,Found a good tv.,"Bought,loved","loved, good",2.0,"Bought,lovedloved, good"
She learned not to play with Toads so close to her face.,Her favorite animals were big green toads.,One day when [NEUTRAL] was playing the toad jumped into her mouth .,Tonya loved to play outdoors.,Tonya was scared and spit the frog out of her mouth.,"spit,scared,jumped,playing,play,loved","favorite, green, toad, mouth, loved, spit, mouth",2.0,"spit,scared,jumped,playing,play,lovedfavorite, green, toad, mouth, loved, spit, mouth"
[NEUTRAL] got a flat tire .,[NEUTRAL] and I were riding our bikes .,I flagged down a car.,Luckily they had a pump with them.,We didn't have a pump with us.,"flagged,riding",,2.0,"flagged,riding"
Her friend laughed and wanted to know why she shouted.,[NEUTRAL] was eating her lunch at work outside .,[NEUTRAL] was just shocked the bird would come so close .,Beth let out a little shout and the bird flew off.,She was talking to her friend when a bird landed on her chair.,"shocked,landed,flew,talking,let,eating","shout, friend",1.0,"shocked,landed,flew,talking,let,eatingshout, friend"
[NEUTRAL] ate the french fries at Wendy 's .,[NEUTRAL] went home full .,He ordered some french fries .,He went to Wendy 's .,[NEUTRAL] was hungry .,ordered,,2.0,ordered
Cindy hated valentine 's day .,Cindy was alone .,It was the day her heart got broken .,Cindy stayed alone every single valentine 's day .,[NEUTRAL] 's day came around next year .,"stayed,broken",broken,2.0,"stayed,brokenbroken"
The kids with masks took them off.,Some of the kids had masks on.,They had a party.,It got very hot that night.,The kids put on costumes.,put,hot,2.0,puthot
I went outside and got the lawn mower from the shed.,I looked out my window and saw that my grass was getting tall.,I worked for an hour cutting the grass .,I sat on the porch and was proud of how good the grass looked.,I decided that the grass needed to be mowed.,"mowed,cutting,sat,needed,worked,looked,saw","cutting, proud, good",2.0,"mowed,cutting,sat,needed,worked,looked,sawcutting, proud, good"
Vince was bringing his plate to the table .,Vince had to clean up the mess .,He tripped over his dog.,Food spilled all over the floor.,Vince dropped his plate .,"tripped,spilled,dropped,clean","clean, mess",2.0,"tripped,spilled,dropped,cleanclean, mess"
[NEUTRAL] was riding his bike to school one day .,He was going very fast and didn't see a crack in the sidewalk.,He got up and brushed himself off.,[NEUTRAL] slowed down and paid more attention the rest of the way .,He ran it over and flipped his bike and fell off.,"slowed,flipped,brushed,paid,fell,see,ran",fell,1.0,"slowed,flipped,brushed,paid,fell,see,ranfell"
He went to the store and bought a guitar.,[NEUTRAL] 's friend [NEUTRAL] played the guitar .,[NEUTRAL] became very good at the guitar and now [NEUTRAL] was jealous of him .,[NEUTRAL] was jealous of [NEUTRAL] and wanted to play the guitar as well .,He brought it home and spent many hours practicing .,"practicing,became,spent,brought,play,played","friend, good, jealous, jealous",2.0,"practicing,became,spent,brought,play,playedfriend, good, jealous, jealous"
Somebody took the flag.,He had to start the next race with a shirt.,The man held up a flag.,At the start of the race he put it down.,He set the flag on the ground.,"held,set,start,put",,2.0,"held,set,start,put"
They chummed behind the boat for 2 hours .,He decided to take his sister and mother in law fishing.,His mother in law had a bite on her hook.,She pulled in a 5 foot shark all by herself .,[NEUTRAL] loved to fish in the ocean .,"fish,pulled,loved","mother, mother, loved",0.0,"fish,pulled,lovedmother, mother, loved"
Now their rooms are clean.,Nick children had a messy room .,Nick bought a huge toy box to put the toys in .,They left their toys all over the place.,His kids put the toys in the toy box.,"left,put",messy,2.0,"left,putmessy"
[NEUTRAL] was going to turn on a side street to escape traffic .,If she turned right she would have to fight to get back on the street.,The cars were backed up for blocks back to back.,The street to the left was empty.,Gina decided she would turn left to escape the traffic .,"backed,back,escape,fight,turn,turned,left","fight, escape",1.0,"backed,back,escape,fight,turn,turned,leftfight, escape"
"After I told her no, she got mad.","In addition, she decided to yell me.",She asked me if I've seen it anywhere.,She was looking for her earrings.,My mom came home.,"'ve,yell,seen,asked,looking",yell,2.0,"'ve,yell,seen,asked,lookingyell"
She was watching intently as the clowns all came out of a tiny car.,The clowns ran over by her and threw another bucket.,She was so happy when it just had confetti.,Kayla went to the circus for her birthday.,One clown threw a bucket of water at another clown .,"threw,ran","happy, birthday, clown, clown",0.0,"threw,ranhappy, birthday, clown, clown"
It broke my heart.,Margo has been the girl of my dreams for Years .,She said I was too good a friend to date.,Last week I finally asked her out .,I guess I'll have to be a bad friend to make things work.,"guess,said,asked","good, friend, finally, guess, bad, friend",0.0,"guess,said,askedgood, friend, finally, guess, bad, friend"
"When the day arrived , [NEUTRAL] 's friend was sick and could not come .",[NEUTRAL] wanted to meet up with her friend for some coffee .,It had been a long time since she'd seen her friend.,[NEUTRAL] decided to bring her friend some tea so she could still see her .,They made plans to meet at the local Starbucks .,"meet,bring,see,seen","friend, friend, friend",2.0,"meet,bring,see,seenfriend, friend, friend"
At first Jonas has headaches when he does n't smoke .,"However , eventually he can go a day without smoking and feel OK .",Jonas is very proud that he has successfully quit smoking .,Jonas loves smoking cigarettes but he knows they are unhealthy .,He decides he needs to quit smoking.,"smoking,quit,feel,needs,knows,loves","proud, unhealthy",1.0,"smoking,quit,feel,needs,knows,lovesproud, unhealthy"
I said no because I am afraid of clowns.,"At dinnertime, she came downstairs dressed in a clown suit.",I grounded her.,She got angry and went up to her room.,My daughter asked me to take her to the circus.,"grounded,dressed,asked","clown, grounded, angry, daughter",0.0,"grounded,dressed,askedclown, grounded, angry, daughter"
Thurman was running away from the police .,He decided to hide in a church.,The priest said no.,He asked the priest there to hide him.,The police found him at the church and arrested him.,"arrested,hide,said,asked","hide, church, hide, police, found, church",0.0,"arrested,hide,said,askedhide, church, hide, police, found, church"
I threw out my mirror because I didn't care how others saw me.,She said she didn't have a phone and just to write.,She said she liked the rough look I had.,I gave her my number and asked her to call me.,I dug it out of the trash when I met a pretty girl.,"dug,write,met,liked,call,gave,said,asked","liked, trash, pretty",2.0,"dug,write,met,liked,call,gave,said,askedliked, trash, pretty"
[NEUTRAL] always wanted to learn a new language .,[NEUTRAL] [NEUTRAL] passed the class and learned Spanish .,So he decided to take a Spanish course .,He learned so much information in the class.,He had his ups and downs in class.,"passed,learned",,2.0,"passed,learned"
As she climbed the school stairs she slipped and fell.,The next morning she proudly dressed in her new clothes .,Lucy bought a brand new outfit for school .,[NEUTRAL] cried when she saw mud covering her new pants .,[NEUTRAL] walked to school carefully through the slushy snow .,"dressed,covering,cried,walked,saw",,2.0,"dressed,covering,cried,walked,saw"
All the money I found I put in a jar.,In some pockets I found money.,As I put the clothes in the washer I emptied the pockets.,I had found $ 15 in this way .,I gathered up all my clothes to do laundry.,"emptied,gathered,put","found, money, found",0.0,"emptied,gathered,putfound, money, found"
"When he opened up the ball, he ate his delicious ice cream.","When he got to the store, he saw the best invention he had ever seen.",[NEUTRAL] put all his ingredients into the ice cream ball and shook it .,"[NEUTRAL] wanted some ice cream , so he went to the store to get some .",It was a ball that would make ice cream when you shook it!,"shook,seen,put,saw","cream, cream, cream",2.0,"shook,seen,put,sawcream, cream, cream"
I had bought it a different food.,The cat was purring.,The cat put its head back down.,The cat started eating.,The cat had a funny look.,"purring,eating,started,put",,2.0,"purring,eating,started,put"
She ate cereal while watching reruns of old TV shows.,[NEUTRAL] 's mom had already left for work .,She made a bowl of cereal and went back to bed.,There wasn't much in the house to eat.,She decided she was too sick to go to school.,"left,eat",sick,2.0,"left,eatsick"
She found leftover cake in the refrigerator.,So she ate the cake instead of preparing Something healthier.,Cindy came back from school .,"Later , [NEUTRAL] became too sick to go to school for the next two days .",And she was very hungry and tired.,"preparing,Something,became,ate",sick,2.0,"preparing,Something,became,atesick"
Soon though she found it all boring and stopped following them.,She wanted to fit in with everyone.,[NEUTRAL] was the new girl at school .,Victoria developed her own style even making new friends .,She even dressed like the popular kids.,"developed,fit,dressed",like,2.0,"developed,fit,dressedlike"
Nick came down with a very serious illness one day .,"Nick was so happy to be healthy , he started running every day .","After a few hard months , Nick 's health started to improve .",His doctors told him that he may not be able to exercise again.,Nick was afraid he would have to spend his life bed ridden .,"improve,exercise,bed,spend,started,running","happy, improve, afraid",2.0,"improve,exercise,bed,spend,started,runninghappy, improve, afraid"
I pulled up the big ones by hand.,I decided to leave it alone.,I was weeding my front yard.,I sprayed the whole yard with weed killer.,I noticed one little weed growing in a driveway crack.,"weeding,sprayed,growing,noticed,leave",leave,2.0,"weeding,sprayed,growing,noticed,leaveleave"
When he returned he asked Jake to drive his Power Wheels truck .,When Jake went to the bathroom [NEUTRAL] drove the truck .,Jake wouldn't let him.,[NEUTRAL] had n't been to Jake 's house in a week .,Jake yelled at [NEUTRAL] for playing with his toy .,"yelled,let,drove,playing",,2.0,"yelled,let,drove,playing"
[NEUTRAL] broke down in tears .,So [NEUTRAL] had to put her down .,Tina was getting sick .,It was painful.,She had lived twelve years .,"lived,put","sick, painful",2.0,"lived,putsick, painful"
He says I have a green thumb.,It grew very quickly.,Now there is a bunch of them.,Dad let me plant a flower.,I made sure to water it every day .,"grew,let",,2.0,"grew,let"
