sentence1,sentence2,sentence3,sentence4,sentence5
I decided to open my window to hear it better.,I got up and opened up the window.,I sat back down and listened to the rain while I wrote.,I was writing on a rainy evening .,I heard the rain and found it inspiring.
They live about four hours apart .,He filled his gas tank and his cooler for the trip.,Before he knew it he was already giving his mom a big hug.,Ronnie decided to make a surprise visit with his mom.,He passed the time by listening to his radio.
His mother told him never to drink ocean water.,[NEUTRAL] was so thirsty he did n't care .,He was very thirsty.,It was so bad that he never drank ocean water again.,[NEUTRAL] was swimming in the ocean .
He sneezed a lot and used many tissues.,But noon he had ran out of fresh tissues .,By the evening his nose was very red and his face was puffy .,[NEUTRAL] had to use paper towel and toilet paper instead .,Sandy caught a cold and stayed home all day .
Marsha went to school every day to learn .,She loved to go to school and see her friends.,She was happy her friends got to go with her.,She got to go on a field trip with the school.,Marsha learned a lot by going on the field trip .
All of his examples were really funny!,My trumpet teacher was amazing.,He could play any rhythm you put in front of him.,He told me that he thought up words to go with the rhythms.,I asked him to teach me his secret.
The car hit [NEUTRAL] as it crashed through the woods and onto the trail .,Ava walked along a nature trail near a highway.,A nearby car spun out of control.,Ava bumped her head on a tree.,An ambulance drove Ava to the hospital.
She really wanted a cake so I baked her one.,We stopped at the store to buy a new one and my sister was happy.,"On the way there, my friend dropped the cake on the car floor.",I asked my friend to take it to my sister's house with me.,Last friday was my sister 's birthday .
"This prepared me for the recital, and I did really well.","My first dance recital was coming up , and I was scared .",I took tap dancing up when I was a young girl.,I was too young to know how to mentally prepare.,"On the day of the recital , my mom gave me a good pep talk ."
She was very happy.,It was [NEUTRAL] 's birthday .,She was getting a bunch of gifts.,The one her parents got her was the best .,It was the new toy she wanted.
Last year it had puppies on it .,She was turning 7 !,This year she wanted to do Something more grown up .,So she asked for flowers on her cake this year .,Annie always got to chose what her birthday cake would look like .
She stood still.,One day she ran up a trail .,[NEUTRAL] loved running .,The bear didn't notice her and went away.,On the the trail she seen a bear.
He kept bug spray by his bed.,It was summer and bugs were all around .,He did not want them in his room.,He killed every bug he saw in his room!,But [NEUTRAL] hated bugs .
"Luckily, I was able to find new friends pretty quickly!",He told my brothers and I that we had to move.,Moving across the country was not so bad after all!,My dad got a new job across the country.,I was so sad I would never see my friends again.
"Upon arrival, his guests sat at the table and began to make demands.","He had steak, chicken, shrimp and surprise meat for the dinner.",[NEUTRAL] invited his friends over for a very special meal .,"He did not have any cheese, or bread or wine to drink.","[NEUTRAL] decided that next time , he would just treat them to a restaurant ."
They shushed her back.,Pam didn't know how to react and left them alone.,"One day , Someone was being very loud in the library .",[NEUTRAL] was a librarian .,Pam shushed them.
Susy stayed silent.,The deer looked at her for awhile and then looked away.,She decided to take a walk in it one day .,Susy had a garden out in the back of her house.,But in it she saw a deer.
[NEUTRAL] was walking down to a grocery store .,And he saw a bike left alone.,[NEUTRAL] was happy to find the bike .,He wished he could reach the grocery store faster.,So he grabbed the bike and used it.
"So we went, she got a chicken breast sandwich.",My mom didn't want to go to Subway for lunch.,After she finished she told me she now loves Subway .,I told her it was healthy and they had a lot of choices.,Now me and my mom go to Subway every Sunday .
"Suddenly, a man rushed by and grabbed her purse.",[NEUTRAL] yelled at his dog to get the man .,His neighbor was outside getting into her car.,The dog ran after the man who then dropped the purse.,Toby went outside to walk his dog.
For the rest of the day her mouth hurt from the burn .,"At her bus stop, she was cold so she took a sip.",Kayla was on her way to school one morning .,The sip was so hot she immediately spit it out as her mouth burned.,She made sure to grab her hot cocoa mug on the way out.
"Finally, they discovered that it had been in the car all along.",[NEUTRAL] had gone to a park for the Fourth of July .,She and her mom checked every inch of the park looking for it.,"Suddenly , [NEUTRAL] realized her camera was missing .",They were all heading back to the car after the fireworks.
I bought a new pair of shoes.,The shine shined into a drivers eyes and he put the brakes on.,These shoes were very shiny today .,I put them on and walked outside.,Nobody got hurt and I decided to take a nap instead.
My Dad leaves for work early in the morning .,"Tonight , my Dad went to bed before I did !","When he comes home, he is very tired.",He has to be up at three o'clock !,He works hard all day .
It would not start!,Today I took my motor scooter to the gas station to fill it with gas .,"After it was filled, it started right up!","Once it was filled, I tried to start it.",The man at the station gave me some oil to put in it.
I told her it was the best day of my life .,I remember the day when gas prices dropped very low .,"Now that a gallon was 23 cents , I felt like nothing could stop me .","At the party I was at, a lady asked me how I felt.",People went out in the streets and had parties.
"It was so beautiful , we decided to pitch our tent and spend the night .",We were driving through the Blue Ridge Mountains in the early spring .,"We slept very well, in the fresh air, though we heard some odd noises.","The next morning , the ranger told us that a bear had been spotted .","We had trouble starting our campfire, but finally got it going."
People dressed as monsters jumped out at every turn.,We started running at one point .,We walked down the dark trail.,We had a great time at the haunted trail.,We jumped and screamed a lot.
"Sara started to feel so tired, she was falling asleep standing up.","Finally , they made it to the ride and Sara woke up .",It was late and they were going to go on just a few more rides.,They were in a very long line for one ride .,Sara was at Disneyland with her family .
There was only one round left .,He came out swinging and caught a knock out.,[NEUTRAL] had to go all out to win .,He had lost the first two rounds .,[NEUTRAL] was in a hard fight .
He fired it up.,[NEUTRAL] spent the next hour cutting grass .,He took it out of the garage.,[NEUTRAL] filled his new lawn mower with gas .,Jim just got a new lawn mower .
He pulls over and takes a look.,He starts to hear a tick in the engine.,He calls his mom and tells her he will be late for dinner.,His engine is nearly on fire.,One day [NEUTRAL] is driving to his mom 's house .
The boy said square.,It was a triangle.,The teacher drew a shape.,The teacher corrected the boy.,She asked for it's name.
Nick saw how hard his single mom worked to care for her two sons .,Every night he bagged up the trash and took it out to the can.,"So one week , he decided to help her out .",Nick 's mom thanked him for the work he 'd done all week for her !,At the end of the week he took the can to to curb .
